n,a_x,a_y,a_z,p,time,g_x,g_y,g_z,rot_x,rot_y,rot_z,t,rh,mag_x,mag_y,mag_z,ext_lat,ext_lon,ext_alt,ext_p,ext_temp,ext_altEST,ext_rh,course,gps_speed,battery_percentage,battery_temp,a_actual_x,a_actual_y,a_actual_z
84,0.36056662,-0.18729079,0.53698444,902.65,Sun May 21 05:50:21 MDT 2017,-1.5145718,0.17232703,9.687454,0.019933002,0.07641523,-0.15106131,-2.4320765,100.0,-1.57,22.837,-46.836,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,97,103,-1.1540052,-0.014963761,10.224439
86,0.036103845,0.0054297745,-0.14098454,902.68,Sun May 21 05:50:41 MDT 2017,-1.0308946,0.14001797,9.75131,0.018790107,0.049505495,-0.2178751,-1.4115106,100.0,-6.718,23.492,-44.987,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,97,106,-0.9947908,0.14544775,9.610326
88,0.010800481,-0.0016872585,-0.3029604,902.63,Sun May 21 05:51:02 MDT 2017,-0.9912261,0.2632538,9.752874,0.024065195,0.04649501,-0.21648398,-0.8237347,100.0,-7.052,23.495,-44.982,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,97,109,-0.9804256,0.26156655,9.449914
90,-0.065173805,-0.07493454,-0.087213516,902.68,Sun May 21 05:51:22 MDT 2017,-0.9104634,0.38258946,9.756796,0.029955268,0.040963277,-0.22140671,-0.56069237,98.823044,-8.013,23.411,-44.387,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,97,109,-0.9756372,0.30765492,9.669582
92,0.051819444,0.023947522,-0.21625137,902.67,Sun May 21 05:51:42 MDT 2017,-0.98495954,0.23821758,9.754152,0.023785237,0.045951974,-0.23791024,-0.3378884,97.01673,-8.682,23.915,-44.032,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,97,111,-0.9331401,0.2621651,9.537901
94,0.12195766,0.13279016,-0.2395916,902.71,Sun May 21 05:52:02 MDT 2017,-1.0078123,0.15152128,9.753551,0.018044535,0.049579635,-0.20254415,-0.28110483,96.40262,-6.825,25.433,-43.362,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,97,112,-0.8858546,0.28431144,9.513959
96,-0.03843075,-0.04997076,-0.27385902,902.72,Sun May 21 05:52:23 MDT 2017,-0.98269624,0.28579962,9.753102,0.023606012,0.046416584,-0.1847203,-0.38466492,96.81268,-6.304,25.753,-43.055,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,97,112,-1.021127,0.23582886,9.479243
98,0.071109414,0.08041011,-0.26325035,902.7,Sun May 21 05:52:43 MDT 2017,-1.0611118,0.21587236,9.746683,0.022649553,0.050444882,-0.2185633,-0.30630788,97.52341,-7.951,25.524,-42.735,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,97,114,-0.9900024,0.29628247,9.483433
100,-0.010899365,-0.009287149,-0.18179989,902.75,Sun May 21 05:53:03 MDT 2017,-0.83305675,0.28701454,9.766987,0.02304738,0.03868088,-0.20305148,-0.2844141,97.52341,-7.815,25.34,-42.814,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,97,116,-0.8439561,0.2777274,9.585187
102,0.09452343,0.012756467,-0.2619753,902.73,Sun May 21 05:53:23 MDT 2017,-1.1156504,0.4032361,9.734634,0.028961293,0.053371117,-0.15005699,-0.38492912,98.18156,-3.913,26.155,-42.552,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,97,116,-1.021127,0.41599256,9.472659
104,-0.059352934,-0.20720628,-0.11538029,902.8,Sun May 21 05:53:44 MDT 2017,-0.95100015,0.35863954,9.753838,0.025347158,0.044982206,-0.14151956,-0.16945292,97.78963,-3.927,26.506,-41.914,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,97,117,-1.0103531,0.15143326,9.638457
106,-0.1020875,-0.1895898,-0.2735653,902.83,Sun May 21 05:54:04 MDT 2017,-0.93520033,0.5433331,9.746823,0.033065736,0.04446896,-0.10622278,-0.33466476,97.09439,-2.102,25.863,-42.243,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,96,119,-1.0372878,0.3537433,9.473258
109,-0.9615245,-0.9722682,0.2565689,902.73,Sun May 21 05:54:24 MDT 2017,-4.9054666,2.085572,8.231475,0.043547463,0.28491682,0.22937301,-0.64868265,98.22874,25.709,13.301,-34.14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,96,119,-5.866991,1.1133038,8.488044
111,0.11397314,-0.014273822,-0.48595428,902.76,Sun May 21 05:54:45 MDT 2017,-4.2487593,-0.4430187,8.8273535,0.018631626,0.22213335,-0.1824103,-0.5615469,98.367035,7.847,27.229,-39.166,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,96,120,-4.134786,-0.45729253,8.341399
113,-1.0041342,1.0589288,-0.83497334,902.78,Sun May 21 05:55:05 MDT 2017,-0.28634062,-0.7422957,9.774323,-0.031699993,0.02219163,-0.31914175,0.43432793,93.698204,-16.656,26.112,-40.515,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,96,123,-1.2904748,0.31663316,8.93935
115,-0.16240698,-0.12924339,-0.051272392,902.85,Sun May 21 05:55:25 MDT 2017,-0.90121716,0.010131847,9.765147,0.012642384,0.043901887,-0.2646971,-0.04333319,94.73832,-13.053,28.001,-40.281,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,96,123,-1.0636241,-0.11911154,9.713875
117,-0.23077536,-0.3113992,-0.32779408,902.9,Sun May 21 05:55:45 MDT 2017,-0.9393908,0.24196734,9.758554,0.024877498,0.042257316,-0.27638897,-0.42427418,97.70048,-13.937,27.705,-40.641,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,96,124,-1.1701661,-0.06943185,9.43076
119,-0.27631545,0.06835316,-0.45947456,902.89,Sun May 21 05:56:06 MDT 2017,-0.6855551,0.12198587,9.781898,0.017234841,0.031028919,-0.32576683,-0.7808499,99.93366,-18.006,26.045,-40.304,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,96,125,-0.96187055,0.19033903,9.322423
121,-0.36681443,-0.17701381,-0.77642727,902.8,Sun May 21 05:56:26 MDT 2017,-0.95358783,1.0802264,9.700215,0.05529327,0.04954927,0.0060298285,-0.9711118,100.0,3.776,21.636,-41.128,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,96,125,-1.3204023,0.9032126,8.923788
123,0.2408905,0.48589075,-1.4557714,902.83,Sun May 21 05:56:46 MDT 2017,-1.724697,0.47418416,9.642145,0.08156005,0.040330708,-0.7515627,-1.0353088,100.0,-13.995,-6.137,-39.813,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,96,126,-1.4838065,0.9600749,8.186374
125,0.21431732,0.06425497,-0.31120205,902.96,Sun May 21 05:57:07 MDT 2017,-2.5037727,-0.3545519,9.475009,0.11243577,0.065200515,-0.9190039,-0.7874527,100.0,1.397,-7.254,-38.221,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,96,126,-2.2894554,-0.29029694,9.163807
127,0.09359717,0.0058057904,-0.3911543,902.97,Sun May 21 05:57:27 MDT 2017,-2.4907916,-0.26557666,9.481339,0.11386707,0.060194403,-0.9209076,-0.8719035,100.0,1.716,-7.254,-37.608,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,96,128,-2.3971944,-0.25977087,9.090185
129,0.087866545,0.011381954,-0.36729717,902.99,Sun May 21 05:57:47 MDT 2017,-2.5173826,-0.26816007,9.474242,0.11501194,0.060945123,-0.9203391,-1.1265767,100.0,1.704,-7.254,-37.313,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,95,129,-2.429516,-0.25677812,9.106945
131,0.087310314,0.0014708936,-0.40767765,902.96,Sun May 21 05:58:08 MDT 2017,-2.5246077,-0.25346062,9.472724,0.11492328,0.06182099,-0.9157209,-1.2169412,100.0,1.704,-6.947,-37.316,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,95,129,-2.4372973,-0.25198972,9.065046
133,-0.01796031,-0.052505996,-0.2405405,902.97,Sun May 21 05:58:28 MDT 2017,-1.7268142,0.038140785,9.653344,0.079641595,0.037647758,-0.89091444,-1.5070426,100.0,-3.81,-7.911,-37.736,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,95,130,-1.7447745,-0.01436521,9.412804
135,0.42054152,-0.014834881,-0.55433464,903.02,Sun May 21 05:58:48 MDT 2017,-1.9211074,-0.24972442,9.613396,0.08407402,0.0528866,-0.9032393,-1.7344627,100.0,-2.345,-7.287,-37.747,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,95,130,-1.5005659,-0.2645593,9.059061
137,0.015362382,-0.15210795,-0.3119545,902.97,Sun May 21 05:59:09 MDT 2017,-1.802634,1.2438639,9.55896,0.108244434,-0.027843004,-0.9320643,-1.8764447,100.0,1.29,-10.337,-34.286,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,95,130,-1.7872716,1.091756,9.247005
139,0.50777495,-0.18927169,-0.5324497,902.95,Sun May 21 05:59:29 MDT 2017,-2.2262132,1.2151871,9.472998,0.12965034,-0.010783032,-0.90489393,-2.0405233,100.0,1.448,-10.372,-34.794,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,95,131,-1.7184383,1.0259154,8.940548
141,0.9490727,0.4989761,0.8897743,902.96,Sun May 21 05:59:49 MDT 2017,-1.2387711,1.8335749,9.553734,0.108711824,-0.03806363,-0.80355674,-2.080768,100.0,-13.735,-12.405,-34.518,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,95,132,-0.2896984,2.332551,10.443508
143,-0.05445075,-0.0738767,-0.50807095,902.9,Sun May 21 06:00:09 MDT 2017,-2.4373147,-0.11047683,9.498299,0.11336738,0.05904343,-0.8998192,-2.1864202,100.0,0.222,-6.443,-37.315,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,95,132,-2.4917655,-0.18435353,8.990228
145,1.461607,0.2679059,-0.27878857,899.76,Sun May 21 06:00:30 MDT 2017,-2.8933396,0.5066184,9.356404,0.099154465,0.11062359,-0.5338338,-2.1503587,100.0,-17.434,13.673,-40.242,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,95,132,-1.4317327,0.7745243,9.077616
147,-0.09229541,-0.16189027,-0.46452332,893.69,Sun May 21 06:00:50 MDT 2017,-1.6357197,1.1734405,9.597804,0.07120363,0.07483328,-0.1379353,-1.9615934,100.0,0.862,21.885,-40.164,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,95,134,-1.7280151,1.0115502,9.133281
149,0.3293773,0.12639952,-0.45455456,888.96,Sun May 21 06:01:10 MDT 2017,-1.7748766,0.73611164,9.616566,0.09729081,-0.009874122,-0.9538007,-1.6985382,100.0,5.279,-4.975,-37.214,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,95,136,-1.4454993,0.86251116,9.162011
