n,a_x,a_y,a_z,p,time,g_x,g_y,g_z,rot_x,rot_y,rot_z,t,rh,mag_x,mag_y,mag_z
102,-0.8845237,-0.18046522,-0.071240425,905.9677,Thu Nov 10 19:22:19 MST 2016,-0.08890279,2.664312,9.437368,0.09401514,-0.09994636,-0.74373186,0.0,0.0,-14.731598,-10.552597,-25.754166
103,-0.26633096,-0.080887556,0.03467846,905.921,Thu Nov 10 19:22:20 MST 2016,-0.722811,2.524289,9.448592,0.116348356,-0.06869446,-0.7191646,0.0,0.0,-17.89856,-9.008408,-25.671768
104,0.20369285,-0.06670332,-0.038129807,905.8789,Thu Nov 10 19:22:21 MST 2016,-0.64772075,2.5915198,9.435829,0.118909374,-0.069044724,-0.69022727,0.0,0.0,-20.280457,-8.122253,-26.602936
105,0.028830409,-0.017541647,0.037916183,905.82666,Thu Nov 10 19:22:22 MST 2016,-0.49342558,2.5758016,9.449452,0.115425915,-0.06992024,-0.66365266,0.0,0.0,-21.662521,-6.3674927,-26.705933
106,-0.06248167,-0.0368917,0.016561508,905.7735,Thu Nov 10 19:22:24 MST 2016,-0.462113,2.5654066,9.453863,0.115574226,-0.06804212,-0.6461804,0.0,0.0,-23.514938,-5.6430817,-26.989365
107,-0.11980352,-0.060577154,0.046538353,905.7451,Thu Nov 10 19:22:25 MST 2016,-0.5012172,2.5606215,9.453167,0.11891454,-0.06230496,-0.6199505,0.0,0.0,-25.060654,-3.2966614,-26.908875
108,-0.18190926,-0.059714556,0.061214447,905.6984,Thu Nov 10 19:22:26 MST 2016,-0.7645357,2.5413618,9.440728,0.12829234,-0.046881687,-0.5936444,0.0,0.0,-26.089478,-1.6155243,-27.565765
109,-0.1361776,-0.16605735,-0.12130642,905.6605,Thu Nov 10 19:22:27 MST 2016,-0.8313807,2.5785067,9.4249935,0.13379806,-0.039460935,-0.5580598,0.0,0.0,-26.288605,1.272583,-27.95105
110,-0.007858574,-0.11735964,0.020094872,905.64935,Thu Nov 10 19:22:28 MST 2016,-0.864275,2.4915335,9.445405,0.13234411,-0.030056808,-0.5239358,0.0,0.0,-27.382278,3.9733887,-28.705215
111,0.46950436,0.0023036003,-0.020775795,905.61774,Thu Nov 10 19:22:29 MST 2016,-0.75879025,2.419349,9.473192,0.12712395,-0.02900191,-0.49969205,0.0,0.0,-27.121735,7.4691772,-29.463959
112,1.0432669,0.096295595,0.079912186,905.586,Thu Nov 10 19:22:30 MST 2016,-0.4405641,2.377931,9.503775,0.11670521,-0.04268774,-0.50490934,0.0,0.0,-27.56157,7.7178955,-30.29747
113,0.6617923,0.17775536,0.0781908,905.56805,Thu Nov 10 19:22:31 MST 2016,-0.43036327,2.287592,9.526389,0.112165846,-0.041329626,-0.50958776,0.0,0.0,-26.74179,8.499527,-29.839325
114,0.560003,-0.03185153,-0.061698914,905.55945,Thu Nov 10 19:22:32 MST 2016,0.0035495895,2.2252162,9.550852,0.097706154,-0.059123173,-0.51296455,0.0,0.0,-26.656723,8.332062,-30.023193
115,0.31747547,-0.017696142,-0.06645584,905.56915,Thu Nov 10 19:22:34 MST 2016,0.49106887,2.1950297,9.545214,0.08263773,-0.08062636,-0.52171713,0.0,0.0,-26.773834,7.1346283,-28.99971
116,0.08773297,-0.006643772,-0.071038246,905.5671,Thu Nov 10 19:22:35 MST 2016,0.99691594,2.1729388,9.510777,0.06772797,-0.102460936,-0.5242867,0.0,0.0,-25.811768,6.3827515,-27.239227
117,0.07298553,-0.004609823,0.12122631,905.56604,Thu Nov 10 19:22:36 MST 2016,1.2834452,2.205214,9.468905,0.05925219,-0.11708682,-0.5393275,0.0,0.0,-26.268005,5.8547974,-25.664902
